机型,制造序列号,机号,参考类型,指令类型,件号,序号,章节号,非计划,故障确认,拆换原因,安装日期,部件装上飞行小时数,部件装上飞行循环数,部件装上使用小时数,部件装上使用循环数,拆换日期,部件拆下飞行小时数,部件拆下飞行循环数,部件拆下使用小时数,部件拆下使用循环数,故障描述,部件本次装机使用小时,故障处理,部件本次装机使用循环,装上件号,装上序号,最近送修公司,CY TSN,FH TSN,送修至拆下时间/FH,送修至拆下时间/CY,件号描述,DEF#,TLB号
73N,73N00548,5083    ,NRC   ,CC    ,887477                  ,MX620435A       ,29,X,X,FAIL  ,2010-10-19,30039:15,21122,13456:52,8747,2015-04-18,44762:52,28235,28180:29,15860,"检查发现液压B系统EMDP漏油超标，需更换。
CHECK AND FOUND THE B SYS EMDP WAS DAMAGE, NEED TO REPLACE.",14723:37,"     1
1-1.  参考AMM TASK 29-11-21-000-801-001,拆下B系统EMDP 
REFER TO AMMTASK 29-11-21-000-801-001,REMOVED SYS B EMDP 
1-2.  参考AMM TASK 29-11-21-400-801-001,安装B系统EMDP. 
REFER TO AMM TASK 29-11-21-400-801-001,INSTALLED SYS B EMDP 
1-3.  参考AMM29-11-21-700-801完成EMDP安装测试，确认EMDP工作符合手册要求。 
DO THE EMDP INASTALLATION TEST REFER TOAMM29-11-21-700-801, MAKE SURE THE EMDP WORKS ACCORD WITH THE MANUAL.",7113,887477                  ,MX-510972       ,武汉航达,9222.0,16797.13,14723:37,7113,(AOG)HDY MOTOR DRIVE PUMP                                   ,728056,
73N,73N00551,5089    ,NRC   ,CC    ,887477                  ,MX759530        ,29,X,X,FAIL  ,2017-08-30,48595:55,28893,8352:20,3927,2017-09-01,48604:12,28897,8360:37,3931,"A系统EMDP漏油，需要更换。 
IT NEED TO REPLACE THE A SYSTEM EMDP BECAUSE OIL LEAK .",08:17,"   1
1-1.  参考AMM29-11-21-000-801-001 拆下EMDP。 
REMOVE THE EMDP REFERTO AMM29-11-21-000-801-001. 
1-2.  参考AMM29-11-21-400-801-001安装EMDP并测试正常。 
INSTALL THE EMDP REFER TO AMM29-11-21-400-801-001 ANDTEST OK. 
",4,887477                  ,MX620435A       ,EATON,19461.0,36103.36,08:17,4,(AOG)HDY MOTOR DRIVE PUMP                                   ,907845,
73N,73N00577,5090    ,NRC   ,CC    ,887477                  ,MX603630        ,29,X,X,FAIL  ,2001-03-16,00:00,0,00:00,0,2006-11-09,15679:53,13716,15679:53,13716,A系统EMDP漏油超标。THE EMDP OF HYDRLIC SYS A LEAK OIL.,15679:53,  依据AMM29-11-21更换新的EMDP，测试正常。范清泉 挂签号1005452REPLACED THE EMDP ACCORDING TO AMM29-11-21PN NAS612-10A NAS612-12,13716,57186-10                ,K0324           ,,41696.0,71219.33,, ,(AOG)HDY MOTOR DRIVE PUMP                                   ,192730,
73N,73N04159,1902    ,NRC   ,CC    ,887477                  ,MX759530        ,29,X,X,FAIL  ,2012-08-16,00:00,0,00:00,0,2015-03-26,8352:20,3927,8352:20,3927,"A系统EMDP泵漏油超标。
A SYS EMDP LEAKS OUT OF LIMIT.",8352:20,"      1
1-1.  参考AMM TASK 29-11-21-000-801-001拆下A系统EMDP 
REFER TO AMMTASK 29-11-21-000-801-001，REMOVED SYS A EMDP 
1-2.  参考AMM TASK 29-11-21-400-801-001，安装A系统EMDP. 
REFER TO AMM TASK 29-11-21-400-801-001，INSTALLED SYS A EMDP 
1-3.  参考AMM29-11-21-700-801完成EMDP安装测试，确认EMDP工作符合手册要求。 
DO THE EMDP INASTALLATION TEST REFERTO AMM29-11-21-700-801, MAKE SURE THE EMDP WORKS ACCORD WITH THE MANUAL. 
",3927,887477                  ,MX-503088       ,,18453.0,30723.22,, ,(AOG)HDY MOTOR DRIVE PUMP                                   ,723190,
73Q,73C02506,2942    ,DE    ,CC    ,887477                  ,MX-555477       ,29,X,X,FAIL  ,1996-08-28,00:00,0,00:00,0,2009-12-24,44027:29,29041,44027:29,29041,航前发现A系统EMDP泵壳体余油管和排放堵头处漏油 PF FOUND THE A SYS EMDPLEACKAGE   倪震卿,44027:29,        航前经打泵测试，在泵稳定几分钟后，壳体余油管不再渗漏，排放堵头处漏油为每分钟两滴，符合手册放行要求，航后进一步处理 PF check and found theleakage is in limited REF  2 oil/mins do it AF FLB:10345232航后详细检查液压A系统EMDP壳体油滤正常，无金属屑，依据AMM29-15-22更换A系统EMDP，操作测试A液压系统EMDP 工作正常，无渗漏。 AFcheck A HYD SYS EMDP case drain filter normally no metalcontamination PER amm29-15-22 replace the A HYD SYS EMDP operationcheck A EMDP work normally no leak   TAG:0000097 王小鹏封圈：NAS1612-6 NAS1612-10 NAS1612-12  油滤组件：65-90305-58,29041,887477                  ,MX-543639       ,,11719.0,19381.44,, ,(AOG)HDY MOTOR DRIVE PUMP                                   ,844338,10345230
73Q,73C02981,2993    ,DE    ,CC    ,887477                  ,MX652408        ,29,X,X,FAIL  ,2006-08-24,27030:04,15264,396:52,250,2011-10-24,42369:53,24262,15736:41,9248,过站机组口头反映右EMDP跳开关跳出.  王东升 The C/B of right EMDP isopen,15339:49,"       依据AMM29-15-34更换B系统壳体回油滤,检查正常,但油滤底座保险空损坏过站临时处理,请航后进一步处理.  王东升 Refer AMM29-15-34 replace thehousing return filter of B system test ok. but the safety ring onfilter base is broken it will be done in AF  王东升 FL10516833航后为进一步排除故障按AMM29-15-22更换B系统EMDP工作正常. 石锐挂签号:1021904 For troubleshooting the fault of the C/B of RH EMDPopen PER AMM29-15-22 replaced the HYD system B EMDP ,test it worknormally. tag:1021904",8998,57186-10                ,K1552           ,武汉航达,30811.0,47979.13,15339:49,8998,(AOG)HDY MOTOR DRIVE PUMP                                   ,1376336,10516830
73Q,73C02506,2942    ,DE    ,CC    ,887477                  ,MX-543638       ,29,X,X,FAIL  ,2002-12-16,00:00,0,00:00,0,2016-07-01,53365:29,34283,53365:29,34283,航后检查发现B系统EMDP漏油。AF FOUND HYDRALIC SYSTEM B LEAK OF EMDP.毛建,53365:29,  依据AMM29-15-22，更换B系统EMDP，测试正常。IAW AMM29-15-22，REPLACE HYRAULIC SYSTEM B'S EMDP.TEST OK.毛建.EMDP:OFF:P/N:887477  S/N:MX-54363ON:P/N:887477  S/N:MX-543639,34283,887477                  ,MX-543639       ,,11719.0,19381.44,, ,(AOG)HDY MOTOR DRIVE PUMP                                   ,4143612,F0154421
73Q,73C02510,2119    ,DE    ,CC    ,887477                  ,MX-537132       ,29,X,X,FAIL  ,2001-01-05,00:00,0,00:00,0,2016-12-16,53629:37,34176,53629:37,34176,A系统EMDP漏油A SYS EMDP HAD OIL LEAK,53629:37," IAW AMM29-15-21 REPLACED SYS A EMDP CHK NML.依据AMM29-15-21更换A系统EMDP,测试正常.邵官唯",34176,887477                  ,MX-543638       ,,36131.0,56089.39,, ,(AOG)HDY MOTOR DRIVE PUMP                                   ,4575730,F0202181
73Q,73C02506,2942    ,DE    ,CC    ,887477                  ,MX603630        ,29,X,X,FAIL  ,2013-03-14,49003:33,31954,27062:00,21641,2018-11-20,56321:56,35882,34380:23,25569,"A SYSTEM EMDP VENT PLUG,LEAKLAGE. A系统EMDP本体通气堵头漏油",7318:23," 依据AMM29-15-21更换系统A EMDP,检查正常,无渗漏 IAW AMM29-15-21 REPLACEHYD SYSTEM A EMDP,CHK NML,NO LEAK.胡跃",3928,887477                  ,MX621720        ,武汉航达,30375.0,51619.19,13999:18,8678,(AOG)HDY MOTOR DRIVE PUMP                                   ,6822706,F0458361
73Q,73C02506,2942    ,DE    ,CC    ,887477                  ,MX621720        ,29, , ,SCH   ,2018-11-20,56321:56,35882,51198:06,30157,2018-11-24,56321:56,35882,51198:06,30157,,00:00,"  IAW MAOYZR710080 REPLACED THE RIGHT ENGINE OF B-2942.依据工卡号MAOYZR710080，更换B-2942右发. 陈炜
SWAP DE:6872080",0,57186-10                ,K1379           ,武汉航达,30358.0,47407.07,00:00,0,(AOG)HDY MOTOR DRIVE PUMP                                   ,6829815,F0458411
73Q,73C02506,2942    ,DE    ,CC    ,887477                  ,MX-543639       ,29,X,X,FAIL  ,2009-12-24,44027:29,29041,11211:53,7081,2013-03-14,49003:33,31954,16187:57,9994,见TY034393项目I.FROM TY034393 ITEM I.,4976:04," 依据AMM29-15-21更换A系统EMDP，测试正常，无渗漏。IAW AMM29-15-21REPLACED SYS A EMDP,TEST OK.潘富川",2913,887477                  ,MX603630        ,武汉航达,25834.0,34918.19,12499:44,7646,(AOG)HDY MOTOR DRIVE PUMP                                   ,1938960,Y0343952
